id,filename,url,mimeType,mediaType,sizeBytes,width,height,altEn,altAr,folderId,uploadedById,createdAt,updatedAt
cmq0kxvsj002qhfa44sjj6tkv,hero.svg,/demo/safar/hero.svg,image/svg+xml,SVG,0,,,Safar Al-Madina Travel Agency,وكالة سفر الصفار المدينة,,,2026-06-05T07:05:24.020Z,2026-06-05T07:05:24.020Z
cmq0kxvsk002rhfa43c7i7xq7,dest-1.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Makkah destination,وجهة مكة,,,2026-06-05T07:05:24.021Z,2026-06-05T07:05:24.021Z
cmq0kxvsl002shfa4jiag8jwv,dest-2.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Madinah destination,وجهة المدينة,,,2026-06-05T07:05:24.022Z,2026-06-05T07:05:24.022Z
cmq0kxvsm002thfa4y8kg2crl,dest-3.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Dubai skyline,أفق دبي,,,2026-06-05T07:05:24.022Z,2026-06-05T07:05:24.022Z
cmq0kxvsn002uhfa427fsc1fk,dest-4.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Turkey travel,سفر تركيا,,,2026-06-05T07:05:24.023Z,2026-06-05T07:05:24.023Z
cmq0kxvsn002vhfa4ociqgpjx,dest-5.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Maldives resort,منتجع المالديف,,,2026-06-05T07:05:24.024Z,2026-06-05T07:05:24.024Z
cmq0kxvso002whfa4cypvdapd,dest-6.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,European tour,جولة أوروبية,,,2026-06-05T07:05:24.024Z,2026-06-05T07:05:24.024Z
cmq0kxvsp002xhfa443xccluk,dest-7.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Adventure travel,سفر مغامرات,,,2026-06-05T07:05:24.025Z,2026-06-05T07:05:24.025Z
cmq0kxvsp002yhfa4772va47w,dest-8.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Cultural experience,تجربة ثقافية,,,2026-06-05T07:05:24.026Z,2026-06-05T07:05:24.026Z
cmq0kxvsq002zhfa4g7xcjv9y,dest-9.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Luxury vacation,عطلة فاخرة,,,2026-06-05T07:05:24.026Z,2026-06-05T07:05:24.026Z
cmq0kxvsr0030hfa4h0gxjqxm,dest-10.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Family holiday,عطلة عائلية,,,2026-06-05T07:05:24.027Z,2026-06-05T07:05:24.027Z
cmq0kxvss0031hfa40q9bo1zu,dest-11.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Honeymoon package,باقة شهر العسل,,,2026-06-05T07:05:24.028Z,2026-06-05T07:05:24.028Z
cmq0kxvss0032hfa4phgj62ol,dest-12.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Religious tourism,سياحة دينية,,,2026-06-05T07:05:24.029Z,2026-06-05T07:05:24.029Z
cmq0kxvst0033hfa454knn6vk,pkg-family.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Family holiday package,باقة عطلة عائلية,,,2026-06-05T07:05:24.030Z,2026-06-05T07:05:24.030Z
cmq0kxvsu0034hfa4zi9v2jas,pkg-honeymoon.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Honeymoon package,باقة شهر العسل,,,2026-06-05T07:05:24.030Z,2026-06-05T07:05:24.030Z
cmq0kxvsu0035hfa4kieesqy9,hotel-1.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Makkah hotel,فندق مكة,,,2026-06-05T07:05:24.031Z,2026-06-05T07:05:24.031Z
cmq0kxvsv0036hfa4mga63tt2,hotel-2.svg,/images/placeholder.svg,image/svg+xml,SVG,0,,,Madinah hotel,فندق المدينة,,,2026-06-05T07:05:24.032Z,2026-06-05T07:05:24.032Z
